visit_hour,actual_mean,predicted_mean,mae,count
0,69.34782608695652,70.22852536287412,9.983388464362427,46
1,73.8936170212766,74.15796187888844,15.13452622516195,47
2,81.8913043478261,80.90174164965305,12.349968762170823,46
3,74.5945945945946,78.65734297945937,11.476236565767358,37
4,67.77142857142857,71.13335929482386,10.819967193241421,35
5,81.52380952380952,80.1942702457898,9.488746885797188,42
6,96.42857142857143,93.214569928266,14.373287544208923,42
7,65.38709677419355,65.83133243746354,10.703585783948586,31
8,92.64864864864865,92.8205367915329,16.287852005412002,37
9,98.0,95.97619869406276,18.400664745847468,35
10,74.86363636363636,79.24026669485563,12.863666697356779,44
11,89.86440677966101,90.64275020028491,13.616115082264827,59
12,84.63636363636364,82.68096319683212,10.933343589525675,44
13,79.64864864864865,84.34216246762153,14.21483223198782,37
14,73.54054054054055,73.70196554866746,10.453031226444846,37
15,66.65714285714286,67.6574768282693,13.325853640631125,35
16,85.38297872340425,85.65762215315488,11.217450109637808,47
17,100.58620689655173,113.03093463890175,24.36723044725772,29
18,75.21739130434783,81.4325984738833,16.080458562792845,46
19,82.3125,83.33916499728629,15.907578510133286,48
20,84.81632653061224,84.82567170193082,11.393910848370055,49
21,93.21428571428571,96.8891565533992,15.551252493561796,42
22,66.27659574468085,67.24102346875485,11.441546943877011,47
23,87.02631578947368,89.87067656467104,14.182111827492616,38
